Column 1	LC-ID	Column 2	Column 3	LC-ID1	Column 4	blank
Social marketing of vasectomy services : an international review /		Huber, Sallie Craig.	Huber, Sallie Craig. | Social marketing of vasectomy services : an international review /		http://example.org/1001181#Work	
Sociobiology, sense or nonsense? /		Ruse, Michael.	Ruse, Michael. | Sociobiology, sense or nonsense? /		http://example.org/1339204#Work	
Episteme (Dordrecht, Netherlands)	n42011044	Ruse, Michael.	Ruse, Michael. | Episteme (Dordrecht, Netherlands) ;		http://example.org/1339204#Work830-29	
Socio-cultural approach to tribal languages : an historico comparative dictionary of Halbi, the lingua franca of Aryan, Dravidian, and Munda tribes /		Shukla, Hira Lal.	Shukla, Hira Lal. | Socio-cultural approach to tribal languages : an historico comparative dictionary of Halbi, the lingua franca of Aryan, Dravidian, and Munda tribes /		http://example.org/1327292#Work	
Socjologia komunikacji literackiej : problemy rozpowszechniania i odbioru literatury /		Lalewicz, Janusz.	Lalewicz, Janusz. | Socjologia komunikacji literackiej : problemy rozpowszechniania i odbioru literatury /		http://example.org/1000839#Work	
Problemy kultury literackiej	n84724270	Lalewicz, Janusz.	Lalewicz, Janusz. | Problemy kultury literackiej.		http://example.org/1000839#Work830-25	
Solid state plane-text		Ely, Timothy.	Ely, Timothy. | Solid state plane-text		http://example.org/1340313#Work	
Piano music. Selections		Beethoven, Ludwig van, 1770-1827.	Beethoven, Ludwig van, 1770-1827. | Piano music. Selections		http://example.org/1351233#Work	
Sonatas, piano, no. 1, op. 2, no. 1, F minor.		Beethoven, Ludwig van, 1770-1827.	Beethoven, Ludwig van, 1770-1827. | Sonatas, piano, no. 1, op. 2, no. 1, F minor.		http://example.org/1351233#Work700-31	
Bagatelles, piano, op. 33. No. 4.		Beethoven, Ludwig van, 1770-1827.	Beethoven, Ludwig van, 1770-1827. | Bagatelles, piano, op. 33. No. 4.		http://example.org/1351233#Work700-32	
Bagatelles, piano, op. 33. No. 7.		Beethoven, Ludwig van, 1770-1827.	Beethoven, Ludwig van, 1770-1827. | Bagatelles, piano, op. 33. No. 7.		http://example.org/1351233#Work700-33	
Beethoven, Ludwig van, 1770-1827. | Sonatas, piano. no. 2, op. 2, no. 2, | A major	no91029513	Beethoven, Ludwig van, 1770-1827.	Beethoven, Ludwig van, 1770-1827. | Sonatas, piano, no. 14, op. 27, no. 2, | C♯ minor. Allegretto; arranged	nr2003038492	http://example.org/1351233#Work700-34	
Sonatas, violoncello, continuo, G. 17, C major		Boccherini, Luigi, 1743-1805.	Boccherini, Luigi, 1743-1805. | Sonatas, violoncello, continuo, G. 17, C major		http://example.org/1360951#Work	
Sonatas, violoncello, continuo, E♭ major		Boccherini, Luigi, 1743-1805.	Boccherini, Luigi, 1743-1805. | Sonatas, violoncello, continuo, E♭ major		http://example.org/1360105#Work	
Songs and arias		Greer, Albert, 1937-	Greer, Albert, 1937- | Songs and arias		http://example.org/1331608#Work	
Acis and Galatea. Would you gain the tender creature; arranged.		Handel, George Frideric, 1685-1759.	Handel, George Frideric, 1685-1759. | Acis and Galatea. Would you gain the tender creature; arranged.		http://example.org/1331608#Work700-25	
Masses, BWV 232, B minor. Benedictus; arranged.		Bach, Johann Sebastian, 1685-1750.	Bach, Johann Sebastian, 1685-1750. | Masses, BWV 232, B minor. Benedictus; arranged.		http://example.org/1331608#Work700-26	
Songs. Selections.		Britten, Benjamin, 1913-1976.	Britten, Benjamin, 1913-1976. | Birthday hansel. Selections; arranged	n88632850	http://example.org/1331608#Work700-27	
Land of dreams.		Morawetz, Oskar, 1917-2007.	Morawetz, Oskar, 1917-2007. | Land of dreams.		http://example.org/1331608#Work700-28	
Zauberflöte. Dies Bildnis ist bezaubernd schön arranged.		Mozart, Wolfgang Amadeus, 1756-1791.	Mozart, Wolfgang Amadeus, 1756-1791. | Zauberflöte. Dies Bildnis ist bezaubernd schön arranged.		http://example.org/1331608#Work700-29	
Semele. Where'er you walk arranged.		Handel, George Frideric, 1685-1759.	Handel, George Frideric, 1685-1759. | Semele. Where'er you walk arranged.		http://example.org/1331608#Work700-30	
Weihnachts-Oratorium. Frohe Hirten, eilt arranged.		Bach, Johann Sebastian, 1685-1750.	Bach, Johann Sebastian, 1685-1750. | Weihnachts-Oratorium. Frohe Hirten, eilt arranged.		http://example.org/1331608#Work700-31	
Pêcheurs de perles. Je crois entendre encore arranged.		Bizet, Georges, 1838-1875.	Bizet, Georges, 1838-1875. | Pêcheurs de perles. Je crois entendre encore arranged.		http://example.org/1331608#Work700-32	
Shakespeare songs, op. 6.		Quilter, Roger, 1877-1953.	Quilter, Roger, 1877-1953. | Shakespeare songs, op. 6.		http://example.org/1331608#Work700-33	
Canciones populares españolas. Nana arranged.		Falla, Manuel de, 1876-1946.	Falla, Manuel de, 1876-1946. | Canciones populares españolas. Nana arranged.		http://example.org/1331608#Work700-34	
Songs to words by Walt Whitman.		Somers, Harry, 1925-1999.	Somers, Harry, 1925-1999. | Songs to words by Walt Whitman.		http://example.org/1331608#Work700-36	
Songs from unsung worlds : science in poetry /		Gordon, Bonnie Bilyeu.	Gordon, Bonnie Bilyeu. | Songs from unsung worlds : science in poetry /		http://example.org/1301307#Work	
Science 85.			 | Science 85.		http://example.org/1301307#Work730-23	
Songs in a time of war /		Saro-Wiwa, Ken, 1941-1995.	Saro-Wiwa, Ken, 1941-1995. | Songs in a time of war /		http://example.org/1328474#Work	
Sour gas study of the Calgary Region /		Calgary Regional Planning Commission.	Calgary Regional Planning Commission. | Sour gas study of the Calgary Region /		http://example.org/1396986#Work	
Sovereignty and leadership in Lebanon, 1943-1976 /		Goria, Wade R.	Goria, Wade R. | Sovereignty and leadership in Lebanon, 1943-1976 /		http://example.org/1001338#Work	
So you have a graduate engineer : a guide for practising civil engineers.		Institution of Civil Engineers (Great Britain)	Institution of Civil Engineers (Great Britain) | So you have a graduate engineer : a guide for practising civil engineers.		http://example.org/1306027#Work	
Spielformen der Poesie /		Grümmer, Gerhard.	Grümmer, Gerhard. | Spielformen der Poesie /		http://example.org/1305544#Work	
Spin a soft Black song : poems for children /		Giovanni, Nikki.	Giovanni, Nikki. | Spin a soft Black song : poems for children /		http://example.org/1364576#Work	
Spin off		Stokes, Telfer.	Stokes, Telfer. | Spin off		http://example.org/1298873#Work	
Spirit of Nova Scotia : traditional decorative folk art, 1780-1930 /		Field, Richard Henning, 1944-	Field, Richard Henning, 1944- | Spirit of Nova Scotia : traditional decorative folk art, 1780-1930 /		http://example.org/1386754#Work	
Stabat Mater. Latin		Pärt, Arvo.	Pärt, Arvo. | Stabat Mater. Latin		http://example.org/1339217#Work	
Statistics : concepts and controversies /		Moore, David S.	Moore, David S. | Statistics : concepts and controversies /		http://example.org/1306469#Work	
Stitches in time		Crombie, John.	Crombie, John. | Stitches in time		http://example.org/1336910#Work	
Stochastic modelling and control /		Davis, M. H. A.	Davis, M. H. A. | Stochastic modelling and control /		http://example.org/1336492#Work	
Monographs on statistics and applied probability (Series)	n42017051	Davis, M. H. A.	Davis, M. H. A. | Monographs on statistics and applied probability.		http://example.org/1336492#Work830-26	
Stream of consciousness : Indo-Anglian novel /		Mahajan, Serena, 1955-	Mahajan, Serena, 1955- | Stream of consciousness : Indo-Anglian novel /		http://example.org/1320674#Work	
Stress-strain modelling of soils /		Banerjee, P. (Priyatosh), 1920-2007.	Banerjee, P. (Priyatosh), 1920-2007. | Stress-strain modelling of soils /		http://example.org/1321240#Work	
Developments in soil mechanics and foundation engineering.		Banerjee, P. (Priyatosh), 1920-2007.	Banerjee, P. (Priyatosh), 1920-2007. | Developments in soil mechanics and foundation engineering.		http://example.org/1321240#Work830-23	
Quartets, violins (2), viola, cello, no. 3, op. 37		Goehr, Alexander, 1932-	Goehr, Alexander, 1932- | Quartets, violins (2), viola, cello, no. 3, op. 37		http://example.org/1330687#Work	
Musik unserer Zeit	n42017265	Goehr, Alexander, 1932-	Goehr, Alexander, 1932- | Musik unserer Zeit.		http://example.org/1330687#Work830-26	
Studies in educational administration and policy making : the case of Israel /		Ben Baruch, Ephraim.	Ben Baruch, Ephraim. | Studies in educational administration and policy making : the case of Israel /		http://example.org/1372078#Work	
Studies in educational administration &amp; policy making.			 | Studies in educational administration &amp; policy making.		http://example.org/1372078#Work740-26	
Educational administration.			 | Educational administration.		http://example.org/1372078#Work740-27	
Papers in educational administration	n83744648	Ben Baruch, Ephraim.	Ben Baruch, Ephraim. | Papers in educational administration.		http://example.org/1372078#Work830-28	
Suicides, violent and accidental deaths among treaty Indians in Saskatchewan : analysis and recommendations for change /		Fiddler, Sid.	Fiddler, Sid. | Suicides, violent and accidental deaths among treaty Indians in Saskatchewan : analysis and recommendations for change /		http://example.org/1314888#Work	
Summary of the Dene/Metis wildlife agreement /		Dene/Metis Negotiations Secretariat.	Dene/Metis Negotiations Secretariat. | Summary of the Dene/Metis wildlife agreement /		http://example.org/1395151#Work	
Śūnyatāsaptati kārika. Polyglot		Nāgārjuna, 2nd century.	Nāgārjuna, 2nd century. | Śūnyatāsaptati kārika. Polyglot		http://example.org/1313584#Work	
Stoṅ ñid bdun cu pa.			 | Stoṅ ñid bdun cu pa.		http://example.org/1313584#Work740-30	
Śunyatāsaptatiḥ of Ārya Nāgārjuna.			 | Śunyatāsaptatiḥ of Ārya Nāgārjuna.		http://example.org/1313584#Work740-31	
Bhoṭa-Bhāratīya granthamālā ;		Nāgārjuna, 2nd century.	Nāgārjuna, 2nd century. | Bhoṭa-Bhāratīya granthamālā ;		http://example.org/1313584#Work830-32	
Symphonies, no. 3		Ives, Charles, 1874-1954.	Ives, Charles, 1874-1954. | Symphonies, no. 3		http://example.org/1295873#Work	
Set, orchestra, no. 2.		Ives, Charles, 1874-1954.	Ives, Charles, 1874-1954. | Set, orchestra, no. 2.		http://example.org/1295873#Work700-37	
Camp meeting.			 | Camp meeting.		http://example.org/1295873#Work740-40	
Orchestral set.			 | Orchestral set.		http://example.org/1295873#Work740-41	
Symposium on feminism and art = Colloque, feminisme et art.		Dawkins, Heather, 1957-	Dawkins, Heather, 1957- | Symposium on feminism and art = Colloque, feminisme et art.		http://example.org/1322663#Work	
Parallelogramme.			 | Parallelogramme.		http://example.org/1322663#Work730-27	
Colloque, feminisme et art.			 | Colloque, feminisme et art.		http://example.org/1322663#Work740-28	
Synthesis		Annapolis Brass Quintet.,	Annapolis Brass Quintet., | Synthesis		http://example.org/1312535#Work	
Annapolis suite.		Starer, Robert.	Starer, Robert. | Annapolis suite.		http://example.org/1312535#Work700-39	
Aesop suite.		Sapieyevski, Jerzy, 1945-	Sapieyevski, Jerzy, 1945- | Aesop suite.		http://example.org/1312535#Work700-40	
Fanfares, brasses.		Sprenkle, Elam, 1948-	Sprenkle, Elam, 1948- | Fanfares, brasses.		http://example.org/1312535#Work700-41	
Songs, mezzo-soprano, brasses.		Sprenkle, Elam, 1948-	Sprenkle, Elam, 1948- | Songs, mezzo-soprano, brasses.		http://example.org/1312535#Work700-42	
Riemann, Hugo, 1849-1919. | System der musikalischen Rhythmik und Metrik	no2008003750	Riemann, Hugo, 1849-1919.	Riemann, Hugo, 1849-1919. | System der Musikalischen Rhythmik und Metrik /		http://example.org/1358066#Work	
System software : an introduction to systems programming /		Beck, Leland L.	Beck, Leland L. | System software : an introduction to systems programming /		http://example.org/1389791#Work	
Take one /		Banko, Rosalie, 1941-	Banko, Rosalie, 1941- | Take one /		http://example.org/1377867#Work	
Communicating in English		Banko, Rosalie, 1941-	Banko, Rosalie, 1941- | Communicating in English		http://example.org/1377867#Work830-25	
Tales of conflict /		McKelvie, B. A. (Bruce Alistair), 1889-1960.	McKelvie, B. A. (Bruce Alistair), 1889-1960. | Tales of conflict /		http://example.org/1372452#Work	
Indian-White murders and massacres in pioneer British Columbia.			 | Indian-White murders and massacres in pioneer British Columbia.		http://example.org/1372452#Work740-28	
Teacher competence /		Hall, Gayle C.	Hall, Gayle C. | Teacher competence /		http://example.org/1323449#Work	
Hot topics series	no92021398	Hall, Gayle C.	Hall, Gayle C. | Hot topics series. ;		http://example.org/1323449#Work830-26	
Teaching the elementary school chorus /		Swears, Linda.	Swears, Linda. | Teaching the elementary school chorus /		http://example.org/1321990#Work	
Techniques for asbestos control in buildings /		Millet, Christian.	Millet, Christian. | Techniques for asbestos control in buildings /		http://example.org/1397050#Work	
Technology, change, and society /		Pytlik, Edward C.	Pytlik, Edward C. | Technology, change, and society /		http://example.org/1303930#Work	
Television and adult education /		Hilliard, Robert L., 1925-	Hilliard, Robert L., 1925- | Television and adult education /		http://example.org/1407999#Work	
Terminos vascos en documentos medievales de los SS. XI-XVI /		Arzamendi, Jesús.	Arzamendi, Jesús. | Terminos vascos en documentos medievales de los SS. XI-XVI /		http://example.org/1323188#Work	
Thanksgiving for a liberated prophet : an interpretation of Isaiah chapter 53 /		Whybray, R. N. (Roger Norman)	Whybray, R. N. (Roger Norman) | Thanksgiving for a liberated prophet : an interpretation of Isaiah chapter 53 /		http://example.org/1364650#Work	
Bible. Isaiah, LII, 13-LIII, 12	no2012087580		 | Bible Isaiah LIII		http://example.org/1364650#Work630-28	
Journal for the study of the Old Testament. Supplement series	n42014009	Whybray, R. N. (Roger Norman)	Whybray, R. N. (Roger Norman) | Journal for the study of the Old Testament. Supplement series. ;		http://example.org/1364650#Work830-29	
The aerofilms book of Ireland from the air /		Kiely, Benedict.	Kiely, Benedict. | The aerofilms book of Ireland from the air /		http://example.org/1347192#Work	
The algorithmic process : an introduction to problem solving /		Wetzel, Gregory F., 1950-	Wetzel, Gregory F., 1950- | The algorithmic process : an introduction to problem solving /		http://example.org/1389789#Work	
SRA computer science series	n42028277	Wetzel, Gregory F., 1950-	Wetzel, Gregory F., 1950- | SRA computer science series.		http://example.org/1389789#Work830-27	
The American juvenile justice system /		Vito, Gennaro F.	Vito, Gennaro F. | The American juvenile justice system /		http://example.org/1311100#Work	
Law and criminal justice series. ;		Vito, Gennaro F.	Vito, Gennaro F. | Law and criminal justice series. ;		http://example.org/1311100#Work830-30	
The attitudes of Canadian juvenile justice professionals towards the Young Offenders Act /		Moyer, Sharon.	Moyer, Sharon. | The attitudes of Canadian juvenile justice professionals towards the Young Offenders Act /		http://example.org/1343667#Work	
Canada. | Young Offenders Act	n84169972	Canada.	Canada. | Young Offenders Act.		http://example.org/1343667#Work610-19	
User report	n95023759	Moyer, Sharon.	Moyer, Sharon. | User report ;		http://example.org/1343667#Work830-25	
The Banff Centre art collections /		Banff Centre.	Banff Centre. | The Banff Centre art collections /		http://example.org/1405518#Work	
The behaviour of soluble petroleum product derived hydrocarbons in groundwater, phase I /		Patrick, G. C.	Patrick, G. C. | The behaviour of soluble petroleum product derived hydrocarbons in groundwater, phase I /		http://example.org/1396440#Work	
PACE report		Patrick, G. C.	Patrick, G. C. | PACE report		http://example.org/1396440#Work830-23	
The best known name in paper : Hammermill, a history of the company /		McQuillen, Michael J., 1944-	McQuillen, Michael J., 1944- | The best known name in paper : Hammermill, a history of the company /		http://example.org/1303604#Work	
The birth of the National Park Service : the founding years, 1913-33 /		Albright, Horace M. (Horace Marden), 1890-1987.	Albright, Horace M. (Horace Marden), 1890-1987. | The birth of the National Park Service : the founding years, 1913-33 /		http://example.org/1328943#Work	
Institute of the American West books	n83708631	Albright, Horace M. (Horace Marden), 1890-1987.	Albright, Horace M. (Horace Marden), 1890-1987. | Institute of the American West books. ;		http://example.org/1328943#Work830-27	
The book of ties : 188 knots for necks : history, techniques and photographs /		Mosconi, Davide.	Mosconi, Davide. | The book of ties : 188 knots for necks : history, techniques and photographs /		http://example.org/1001500#Work	
The book of world-famous music : classical, popular, and folk /		Fuld, James J., 1916-2008.	Fuld, James J., 1916-2008. | The book of world-famous music : classical, popular, and folk /		http://example.org/1351133#Work	
The Bovine Bluff site : an early Puebloan site in the Upper Moapa Valley /		Myhrer, Keith.	Myhrer, Keith. | The Bovine Bluff site : an early Puebloan site in the Upper Moapa Valley /		http://example.org/1312750#Work	
Contributions to the study of cultural resources. Technical report	n86719847	Myhrer, Keith.	Myhrer, Keith. | Contributions to the study of cultural resources. Technical report. ;		http://example.org/1312750#Work830-30	
The bright key /		Kilner, Geoffrey.	Kilner, Geoffrey. | The bright key /		http://example.org/1002852#Work	
The Commonwealth casebook for administrators in post-secondary education /		McCaig, Robert.	McCaig, Robert. | The Commonwealth casebook for administrators in post-secondary education /		http://example.org/1330711#Work	
The Côte d'Azur triangle		Kondoleon, Harry.	Kondoleon, Harry. | The Côte d'Azur triangle		http://example.org/1374812#Work	
The crash and its aftermath : a history of securities markets in the United States, 1929-1933 /		Wigmore, Barrie A.	Wigmore, Barrie A. | The crash and its aftermath : a history of securities markets in the United States, 1929-1933 /		http://example.org/1306521#Work	
Contributions in economics and economic history	n42008256	Wigmore, Barrie A.	Wigmore, Barrie A. | Contributions in economics and economic history.,		http://example.org/1306521#Work830-27	
The decline of U.S. religious faith, 1912-1984 : and the effects of education and intelligence on such faith /		Beckwith, Burnham P. (Burnham Putnam), 1904-	Beckwith, Burnham P. (Burnham Putnam), 1904- | The decline of U.S. religious faith, 1912-1984 : and the effects of education and intelligence on such faith /		http://example.org/1325992#Work	
The effect of intelligence on U.S. religious faith.			 | The effect of intelligence on U.S. religious faith.		http://example.org/1325992#Work740-24	
Effect of formal education on U.S. religious faith.			 | Effect of formal education on U.S. religious faith.		http://example.org/1325992#Work740-25	
The desert encroaches /		Onwueme, Osonye Tess.	Onwueme, Osonye Tess. | The desert encroaches /		http://example.org/1393471#Work	
Heinemann frontline series	n93010938	Onwueme, Osonye Tess.	Onwueme, Osonye Tess. | Heinemann frontline series.		http://example.org/1393471#Work830-22	
The Dominicans : a short history /		Hinnebusch, William A.	Hinnebusch, William A. | The Dominicans : a short history /		http://example.org/1321169#Work	
The English companion : an idiosyncratic A-Z of England and Englishness /		Smith, Godfrey, 1926-	Smith, Godfrey, 1926- | The English companion : an idiosyncratic A-Z of England and Englishness /		http://example.org/1299782#Work	
The Essential antifederalist /		Allen, W. B. (William Barclay), 1944-	Allen, W. B. (William Barclay), 1944- | The Essential antifederalist /		http://example.org/1002694#Work	
The everyman companion to the theatre /		Thomson, Peter, 1938-	Thomson, Peter, 1938- | The everyman companion to the theatre /		http://example.org/1002689#Work	
The evolution of community impact assessment in the Alberta EIA system /		Alberta. Environmental Assessment Division.	Alberta. Environmental Assessment Division. | The evolution of community impact assessment in the Alberta EIA system /		http://example.org/1395641#Work	
The Faulkner investigation /		Macdonald, Ross, 1915-1983.	Macdonald, Ross, 1915-1983. | The Faulkner investigation /		http://example.org/1396699#Work	
Hound.		Faulkner, William, 1897-1962.	Faulkner, William, 1897-1962. | Hound.		http://example.org/1396699#Work600-22	
Intruder in the dust.		Faulkner, William, 1897-1962.	Faulkner, William, 1897-1962. | Intruder in the dust. | Italian	nr2001029363	http://example.org/1396699#Work600-23	
The fear of population decline /		Teitelbaum, Michael S.	Teitelbaum, Michael S. | The fear of population decline /		http://example.org/1353061#Work	
Population decline.			 | Population decline.		http://example.org/1353061#Work740-26	
The fighting days : a play /		Lill, Wendy, 1950-	Lill, Wendy, 1950- | The fighting days : a play /		http://example.org/1327175#Work	
The First Franco-Americans : New England life histories from the Federal Writers' Project, 1938-1939 /		Doty, C. Stewart (Charles Stewart)	Doty, C. Stewart (Charles Stewart) | The First Franco-Americans : New England life histories from the Federal Writers' Project, 1938-1939 /		http://example.org/1369400#Work	
Peintres flamands de fleurs au XVIIe siècle. English		Hairs, Marie-Louise.	Hairs, Marie-Louise. | Peintres flamands de fleurs au XVIIe siècle. | English.	n92106843	http://example.org/1332399#Work	
The formation of artifact assemblages at Workshop/Habitation sites : models from Peace Point in Northern Alberta /		Stevenson, Marc.	Stevenson, Marc. | The formation of artifact assemblages at Workshop/Habitation sites : models from Peace Point in Northern Alberta /		http://example.org/1389845#Work	
The global product, internationalization of the auto industry /		Stanford Program on International and Cross-Cultural Education.	Stanford Program on International and Cross-Cultural Education. | The global product, internationalization of the auto industry /		http://example.org/1353540#Work	
Histoire ancienne jusqu'à César. Genesis	n85142705	Joslin, Mary Coker, 1922-	Joslin, Mary Coker, 1922- | Histoire ancienne jusqu'à César. Genesis.		http://example.org/1001558#Work	
Bible. Genesis			Bible. Genesis. | Urdu	n2008217913	http://example.org/1001558#Work630-25	
Romance Monographs, Inc. (Series)	n42030810	Joslin, Mary Coker, 1922-	Joslin, Mary Coker, 1922- | Romance Monographs, Inc. (Series) ;		http://example.org/1001558#Work830-27	
The Indians versus the textbooks : is there any way out? /		Hoxie, Frederick E., 1947-	Hoxie, Frederick E., 1947- | The Indians versus the textbooks : is there any way out? /		http://example.org/1319269#Work	
Occasional papers in curriculum series	n84716365	Hoxie, Frederick E., 1947-	Hoxie, Frederick E., 1947- | Occasional papers in curriculum series.		http://example.org/1319269#Work830-21	
The inner world of American psychiatry, 1890-1940 : selected correspondence /		Grob, Gerald N., 1931-	Grob, Gerald N., 1931- | The inner world of American psychiatry, 1890-1940 : selected correspondence /		http://example.org/1304257#Work	
The Japan of today.		Japan. Gaimushō.	Japan. Gaimushō. | The Japan of today.		http://example.org/1341548#Work	
The Kenya civil registration demonstration project (CRDP) : a strategy for a rapidly developing country in Africa /		Gil, Benjamin.	Gil, Benjamin. | The Kenya civil registration demonstration project (CRDP) : a strategy for a rapidly developing country in Africa /		http://example.org/1338653#Work	
Strategy for a rapidly developing country in Africa.			 | Strategy for a rapidly developing country in Africa.		http://example.org/1338653#Work740-25	
The kingdom of coal : work, enterprise, and ethnic communities in the mine fields /		Miller, Donald L., 1944-	Miller, Donald L., 1944- | The kingdom of coal : work, enterprise, and ethnic communities in the mine fields /		http://example.org/1299076#Work	
The Lake Range Quarry, Washoe County, Nevada /		Pedrick, Kathryn E.	Pedrick, Kathryn E. | The Lake Range Quarry, Washoe County, Nevada /		http://example.org/1312751#Work	
Contributions to the study of cultural resources. Technical report	n86719847	Pedrick, Kathryn E.	Pedrick, Kathryn E. | Contributions to the study of cultural resources. Technical report. ;		http://example.org/1312751#Work830-28	
The late Byzantine and Slavonic Communion Cycle : liturgy and music /		Conomos, Dimitri E.	Conomos, Dimitri E. | The late Byzantine and Slavonic Communion Cycle : liturgy and music /		http://example.org/1001305#Work	
Dumbarton Oaks studies. ;		Conomos, Dimitri E.	Conomos, Dimitri E. | Dumbarton Oaks studies. ;		http://example.org/1001305#Work830-30	
The law related to ground water aquifers and competing uses in the Province of Alberta : a legal brief /		Petro-Canada.	Petro-Canada. | The law related to ground water aquifers and competing uses in the Province of Alberta : a legal brief /		http://example.org/1305389#Work	
The Lesbian issue : essays from Signs /		Freedman, Estelle B., 1947-	Freedman, Estelle B., 1947- | The Lesbian issue : essays from Signs /		http://example.org/1296772#Work	
Signs.			 | Signs.		http://example.org/1296772#Work730-23	
The lonely voice : a study of the short story /		O'Connor, Frank, 1903-1966.	O'Connor, Frank, 1903-1966. | The lonely voice : a study of the short story /		http://example.org/1334595#Work	
The magic handbook /		Eldin, Peter, 1939-	Eldin, Peter, 1939- | The magic handbook /		http://example.org/1002712#Work	
The medieval European religious lyric : an ars poetica /		Diehl, Patrick S.	Diehl, Patrick S. | The medieval European religious lyric : an ars poetica /		http://example.org/1306151#Work	
Mer vi gör tillsammans	no89003782	Hoover, Paul, 1945-	Hoover, Paul, 1945- | Mer vi gör tillsammans.		http://example.org/1312549#Work	
Adapting the environment for children with disabilities.			 | Adapting the environment for children with disabilities.		http://example.org/1312549#Work740-38	
Monograph (World Rehabilitation Fund)	n42016921	Hoover, Paul, 1945-	Hoover, Paul, 1945- | Monograph (World Rehabilitation Fund) ;		http://example.org/1312549#Work830-39	
The Motorola MC68000 microprocessor family : assembly language, interface design, and system design /		Harman, Thomas L., 1942-	Harman, Thomas L., 1942- | The Motorola MC68000 microprocessor family : assembly language, interface design, and system design /		http://example.org/1339738#Work	
The myth of the plan : lessons of Soviet planning experience /		Rutland, Peter.	Rutland, Peter. | The myth of the plan : lessons of Soviet planning experience /		http://example.org/1002793#Work	
The neglected majority /		Parnell, Dale, 1928-	Parnell, Dale, 1928- | The neglected majority /		http://example.org/1409288#Work	
The older patient and the role of the physiotherapist /		Hawker, Margaret.	Hawker, Margaret. | The older patient and the role of the physiotherapist /		http://example.org/1368862#Work	
Geriatrics for physiotherapists and the allied professions.		Hawker, Margaret.	Hawker, Margaret. | Geriatrics for physiotherapists and the allied professions.		http://example.org/1368862#Work700-26	
Theory and craft of the scenographic model /		Payne, Darwin Reid.	Payne, Darwin Reid. | Theory and craft of the scenographic model /		http://example.org/1002335#Work	
Materials and craft of the scenic model.		Payne, Darwin Reid.	Payne, Darwin Reid. | Materials and craft of the scenic model.		http://example.org/1002335#Work700-28	
The Pelican-Dives feud : a study in frustration and terror /		Leyendecker, Liston E.	Leyendecker, Liston E. | The Pelican-Dives feud : a study in frustration and terror /		http://example.org/1339207#Work	
Essays and monographs in Colorado history	no88001793	Leyendecker, Liston E.	Leyendecker, Liston E. | Essays and monographs in Colorado history.		http://example.org/1339207#Work830-26	
Monograph (Colorado Historical Society) ;		Leyendecker, Liston E.	Leyendecker, Liston E. | Monograph (Colorado Historical Society) ;		http://example.org/1339207#Work830-27	
[The physiological and pathophysiological components of nutrition].			 | [The physiological and pathophysiological components of nutrition].		http://example.org/1378904#Work	
The poetry of the Forties in Britain /		Tolley, A. T. (A. Trevor)	Tolley, A. T. (A. Trevor) | The poetry of the Forties in Britain /		http://example.org/1366184#Work	
The power of the image : essays on representation and sexuality /		Kuhn, Annette.	Kuhn, Annette. | The power of the image : essays on representation and sexuality /		http://example.org/1000867#Work	
The Press of labor migrants in Europe and North America, 1880s to 1930s /		Harzig, Christiane.	Harzig, Christiane. | The Press of labor migrants in Europe and North America, 1880s to 1930s /		http://example.org/1356493#Work	
Publications of the Labor Newspaper Preservation Project	n84732759	Harzig, Christiane.	Harzig, Christiane. | Publications of the Labor Newspaper Preservation Project.		http://example.org/1356493#Work830-33	
The rhetoric of economics /		McCloskey, Deirdre N.	McCloskey, Deirdre N. | The rhetoric of economics /		http://example.org/1335204#Work	
Rhetoric of the human sciences	n84743257	McCloskey, Deirdre N.	McCloskey, Deirdre N. | Rhetoric of the human sciences.		http://example.org/1335204#Work830-27	
The ring of time : the story of the British Columbia Provincial Museum /		Corley-Smith, Peter, 1923-	Corley-Smith, Peter, 1923- | The ring of time : the story of the British Columbia Provincial Museum /		http://example.org/1335386#Work	
Special publication (British Columbia Provincial Museum)	n83706354	Corley-Smith, Peter, 1923-	Corley-Smith, Peter, 1923- | Special publication (British Columbia Provincial Museum) ;		http://example.org/1335386#Work830-25	
Lézarde. English		Glissant, Édouard, 1928-2011.	Glissant, Édouard, 1928-2011. | Lézarde. | English	n97041843	http://example.org/1362284#Work	
Macmillan Caribbean writers series	n2005177436	Glissant, Édouard, 1928-2011.	Glissant, Édouard, 1928-2011. | Caribbean writers series. ;		http://example.org/1362284#Work830-26	
Thermodynamics and an introduction to thermostatistics /		Callen, Herbert B.	Callen, Herbert B. | Thermodynamics and an introduction to thermostatistics /		http://example.org/1399696#Work	
Thermostatistics.			 | Thermostatistics.		http://example.org/1399696#Work740-25	
The Saami in Finland : some observations /		Sillanpaa, Len.	Sillanpaa, Len. | The Saami in Finland : some observations /		http://example.org/1409929#Work	
Thesaurus linguae Etruscae, indice lessicale : ordinamento inverso dei lemmi /		Pallottino, Massimo.	Pallottino, Massimo. | Thesaurus linguae Etruscae, indice lessicale : ordinamento inverso dei lemmi /		http://example.org/1369676#Work	
The search for community : from utopia to a co-operative society /		Melnyk, George.	Melnyk, George. | The search for community : from utopia to a co-operative society /		http://example.org/1375836#Work	
The special educator's almanac : ready-to-use activities for a resource room or a self-contained classroom /		Elman, Natalie Madorsky.	Elman, Natalie Madorsky. | The special educator's almanac : ready-to-use activities for a resource room or a self-contained classroom /		http://example.org/1339762#Work	
