Column 1	LC-ID-Per	LC-ID-names	org	url	LC-ID-Cor	u1
Angola. Comissão Nacional Preparatória do Carnaval da Vitória.		n85329605	Jurisdiction	http://example.org/1322198#Agent710-21	n85329605	
Koel, Leonard	n85181266	n85181266	Person	http://example.org/1304554#Agent100-13		
Román Umaña, Lina	n88648833	n88648833	Person	http://example.org/1313819#Agent100-9		
Inter-American Agricultural Documentation, Information, and Communication Center.		n80160591	Organization	http://example.org/1313819#Agent710-19	n80160592	
Yoshioka, Minoru, 1919-1990	n84106667	n84106667	Person	http://example.org/1299746#Agent100-13		
Onuma, Tadayoshi, 1943-	n84168213	n84168213	Person	http://example.org/1299746#Agent700-28		
Ōe, Kenzaburō, 1935-	n81033861	n81033861	Person	http://example.org/1299746#Agent700-29		
Tsuruoka, Yoshihisa, 1936-	n81081977	n81081977	Person	http://example.org/1299746#Agent700-30		
Iijima, Kōichi 1930-2013	n82011976	n82011976	Person	http://example.org/1299746#Agent700-31		
Collins, H.M. (Harry M.), 1943-	n81099696	n81099696	Person	http://example.org/1330469#Agent100-14		
Parker, William, 1952-....	no98127532	no98127532	Person	http://example.org/1316728#Agent100-10		
Porporino, Frank J.	n87945129	n87945129	Person	http://example.org/1316728#Agent700-22		
Wevrick, Len	n89642241	n89642241	Person	http://example.org/1316728#Agent700-23		
Canada. Ministry of the Solicitor General. Programs Branch.		n82119823	Jurisdiction	http://example.org/1316728#Agent710-24	n82119823	
Gibbons, Gail	n79022044	n79022044	Person	http://example.org/1373688#Agent100-13		
Serageldin, Ismail, 1944-	n82160262	n79043403	Organization	http://example.org/1360247#Agent710-26	n79043403	
Schwartz, Benjamin I. (Benjamin Isadore), 1916-1999	n50004124	n50004124	Person	http://example.org/1378260#Agent100-13		
Indy, Vincent d' 1851-1931	n50077521	n50077521	Person	http://example.org/1400996#Agent100-13	n84130959	
International Council for Philosophy and Humanistic Studies.		n50056578	Organization	http://example.org/1352685#Agent110-9	n50056578	
International Council for Philosophy and Humanistic Studies.		n50056578	Organization	http://example.org/1352685#Agent610-17	n50056578	http://example.org/1352685#Agent610-17
Huxley, Julian, 1887-1975.	n80057245	n79021345	Organization	http://example.org/1352685#Agent710-18	n79021345	
Nelson, Benjamin, 1911-1977	n79073669	n79073669	Person	http://example.org/1371097#Agent600-22		http://example.org/1371097#Agent600-22
Nelson, Benjamin, 1911-1977	n79073669	n79073669	Person	http://example.org/1371097#Agent700-25		
Walter, E. V. (Eugene Victor), 1925-	n83184360	n83184360	Person	http://example.org/1371097#Agent700-26		
Hilton, R. H. (Rodney Howard), 1916-2002	n50036156	n50036156	Person	http://example.org/1318950#Agent100-15		
Bock, Felicia Gressitt	n86048357	n86048357	Person	http://example.org/1378244#Agent700-27		
Bartl, Peter (Peter F.).			Person	http://example.org/1302673#Agent700-18		
University of Alberta. Dept. of Art and Design. Visual Communication Design Division.			Organization	http://example.org/1302673#Agent710-19		
University of Alberta. Dept. of Art and Design.		n90695709	Organization	http://example.org/1302673#Agent810-20	n90695709	
Baticle, Yveline	n79111945	n79111945	Person	http://example.org/1376444#Agent100-12		
Weaver, Donald F., 1957-....	n00000677	n80063028	Organization	http://example.org/1358282#Agent710-46	n80063028	
Hilliard, Dick	n79083537	n79083537	Person	http://example.org/1390247#Agent100-14		
Thomas, Aquinas, Saint, 1225?-1274	n78095790	n79041716	Organization	http://example.org/1390247#Agent610-23	n79046634	http://example.org/1390247#Agent610-23
Valenti-Hilliard, Beverly	n85377459	n85377459	Person	http://example.org/1390247#Agent700-26		
Vitt, Dale H. (Dale Hadley), 1944-	n87848211	n87848211	Person	http://example.org/1402895#Agent100-10		
Gradstein, S. R. (Stephan Robbert)	n86805348	n86805348	Person	http://example.org/1402895#Agent700-22		
