Column 1	Column 2	Column 3	VIAF-ID	Column 4	blank
Mathematics and the search for knowledge /	Kline, Morris, 1908-1992.	Kline, Morris, 1908-1992. | Mathematics and the search for knowledge /		http://example.org/1337574#Work	blank
Mathematics for a modern world, book 3 /	Carli, E. G.	Carli, E. G. | Mathematics for a modern world, book 3	315414080	http://example.org/1340717#Work	blank
MMW 3.		 | MMW 3.		http://example.org/1340717#Work740-29	blank
Medieval households /	Herlihy, David.	Herlihy, David. | Medieval households	307982106	http://example.org/1342227#Work	blank
Studies in cultural history.	Herlihy, David.	Herlihy, David. | Studies in cultural history.		http://example.org/1342227#Work830-30	blank
Medieval villages : a review of current work /	Hooke, Della.	Hooke, Della. | Medieval villages : a review of current work /		http://example.org/1398280#Work	blank
Monograph (University of Oxford. Committee for Archaeology) ;	Hooke, Della.	Hooke, Della. | Monograph (University of Oxford. Committee for Archaeology) ;		http://example.org/1398280#Work830-25	blank
Meditación en el umbral : antología poética /	Castellanos, Rosario.	Castellanos, Rosario. | Meditación en el umbral : antología poética /		http://example.org/1001086#Work	blank
Memory and memory measurement in old age : memory structure, context and metamemory /	Johansson, Boo.	Johansson, Boo. | Memory and memory measurement in old age : memory structure, context and metamemory /		http://example.org/1002380#Work	blank
Messa solenne, G major Latin	Cherubini, Luigi, 1760-1842.	Cherubini, Luigi, 1760-1842. | Messa solenne, G major Latin		http://example.org/1324887#Work	blank
Metamorphoses. Book 1-4. English &amp; Latin	Ovid, 43 B.C.-17 A.D. or 18 A.D.	Ovid, 43 B.C.-17 A.D. or 18 A.D. | Metamorphoses. Book 1-4. English &amp; Latin		http://example.org/1390253#Work	blank
Metamorphoses 1-4.		 | Metamorphoses 1-4.		http://example.org/1390253#Work740-30	blank
Metamorphoses one-four.		 | Metamorphoses one-four.		http://example.org/1390253#Work740-31	blank
Classical texts.	Ovid, 43 B.C.-17 A.D. or 18 A.D.	Ovid, 43 B.C.-17 A.D. or 18 A.D. | Classical texts.		http://example.org/1390253#Work830-32	blank
Methane production from organic wastes.	National Research Council Canada.	National Research Council Canada. | Methane production from organic wastes.		http://example.org/1371765#Work	blank
Facts on bioenergy	National Research Council Canada.	National Research Council Canada. | Facts on bioenergy		http://example.org/1371765#Work830-23	blank
Metodika paleogeo-morfologicheskikh issledovaniı̆ neftegazonosnykh oblasteı̆ SSSR /	Zolotov, A. N.	Zolotov, A. N. | Metodika paleogeo-morfologicheskikh issledovaniı̆ neftegazonosnykh oblasteı̆ SSSR /		http://example.org/1318879#Work	blank
Trudy (Vsesoi͡uznyĭ nauchno-issledovatelʹskiĭ geologorazvedochnyĭ nefti͡anoĭ institut (Soviet Union)) ;	Zolotov, A. N.	Zolotov, A. N. | Trudy (Vsesoi͡uznyĭ nauchno-issledovatelʹskiĭ geologorazvedochnyĭ nefti͡anoĭ institut (Soviet Union)) ;		http://example.org/1318879#Work830-24	blank
Microeconomics : selected readings /	Mansfield, Edwin.	Mansfield, Edwin. | Microeconomics : selected readings /		http://example.org/1312868#Work	blank
Migration projection of registered Indians, 1982 to 1996 /	Norris, M. J.	Norris, M. J. | Migration projection of registered Indians, 1982 to 1996 /		http://example.org/1297108#Work	blank
Mina Forsyth : flowers and heads /	Arnold, Grant.	Arnold, Grant. | Mina Forsyth : flowers and heads /		http://example.org/1405453#Work	blank
Mineralogy, morphology and dynamics of salts in agricultural soils in Saskatchewan.	Mermut, A. R.	Mermut, A. R. | Mineralogy, morphology and dynamics of salts in agricultural soils in Saskatchewan.		http://example.org/1370835#Work	blank
Origin and nature of salts in Saskatchewan.		 | Origin and nature of salts in Saskatchewan.		http://example.org/1370835#Work740-27	blank
Liber missarum. Missa pro defunctis. Latin	Lobo, Duarte, 1565-1646.	Lobo, Duarte, 1565-1646. | Liber missarum. Missa pro defunctis. Latin		http://example.org/1328340#Work	blank
