Column 1	VIAF-ID-Per	VIAF-ID-names	org	Column 3	Column 4	VIAF-ID-Cor	Column 5
Stagg, Ronald John, 1942-	67968138	154688653	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Ontario%20Heritage%20Foundation.	http://example.org/1386728#Agent710-27	154688653	
McGill, Judith, 1959-	70552909	137425250	Jurisdiction	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Ontario.%20Ministry%20of%20Citizenship%20and%20Culture.	http://example.org/1386728#Agent710-28	137425250	
Luke, Alexandra, 1901-1967	24458514	127786355	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Robert%20McLaughlin%20Gallery.	http://example.org/1386728#Agent710-29	127786355	
Alberta. Home Economics Branch.		151188596	Jurisdiction	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Alberta.%20Home%20Economics%20Branch.	http://example.org/1358427#Agent710-21	151188596	
Saskatchewan Society for Education Through Art		123073757	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Saskatchewan%20Society%20for%20Education%20Through%20Arthttp://www.loc.gov/mads/rdf/v1#ComplexSubject	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Saskatchewan%20Society%20for%20Education%20Through%20Art	123073757	http://example.org/1373735#Agent610-21
Messer, Margaret	121272245	121272245	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Messer,%20Margaret.	http://example.org/1373735#Agent700-25		
Saskatchewan Society for Education Through Art.		123073757	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Saskatchewan%20Society%20for%20Education%20Through%20Art.	http://example.org/1373735#Agent710-26	123073757	
Brainerd, Walter S.	49918031	49918031	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Brainerd,%20Walter%20S.	http://example.org/1309894#Agent100-13		
Goldberg, Charles H.	27762804	27762804	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Goldberg,%20Charles%20H.	http://example.org/1309894#Agent700-24		
Gross, Jonathan L.	85667491	85667491	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Gross,%20Jonathan%20L.	http://example.org/1309894#Agent700-25		
Rosenberg, Marilyn Rosenthal 1934-....	56881797	56881797	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Rosenberg,%20M.%20R.%20(Marilyn%20R.)	http://example.org/1375302#Agent100-10		
