Column 1	id	Column 2	Column 3	Column 4	Column 1
Canada. Solicitor General Canada. Programs Branch	133615246	Jurisdiction	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Canada.%20Ministry%20of%20the%20Solicitor%20General.%20Programs %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20Branch.	http://example.org/1343658#Agent710-26	Canada. Solicitor General Canada. Programs Branch
Mintz, Morton.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Mintz,%20Morton.	http://example.org/1001376#Agent100-13	Mintz, Morton.
Polański, Kazimierz, 1929-		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Polański,%20Kazimierz,%201929-	http://example.org/1370972#Agent700-25	Polański, Kazimierz, 1929-
Bémová, Alla.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Bémová,%20Alla.	http://example.org/1370972#Agent700-26	Bémová, Alla.
Johnson, Daniel M. (Daniel Morgan), 1945-		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Johnson,%20Daniel%20M.%20(Daniel%20Morgan),%201945-	http://example.org/1371462#Agent700-26	Johnson, Daniel M. (Daniel Morgan), 1945-
Alberta Research Council. Atmospheric Sciences Department	142998053	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Alberta%20Research%20Council.%20Atmospheric%20Sciences %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20Department.	http://example.org/1402306#Agent710-20	Alberta Research Council. Atmospheric Sciences Department
Beardsley, Aubrey, 1872-1898.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Beardsley,%20Aubrey,%201872-1898.	http://example.org/1405075#Agent100-12	Beardsley, Aubrey, 1872-1898.
Galleria nazionale d'arte moderna (Itàlia)	155685834	Jurisdiction	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Italy.%20Soprintendenza%20speciale%20alla%20Galleria%20nazionale%20d'arte %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20moderna%20e%20contemporanea.	http://example.org/1405075#Agent710-25	Galleria nazionale d'arte moderna (Itàlia)
Victoria and Albert Museum.	128776887	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Victoria%20and%20Albert%20Museum.	http://example.org/1405075#Agent710-26	Victoria and Albert Museum.
Royal institute of international affairs	125435750	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22British%20Council.	http://example.org/1405075#Agent710-27	Royal institute of international affairs
Watson, Leslie.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Watson,%20Leslie.	http://example.org/1319662#Agent100-13	Watson, Leslie.
Dallwitz, M. J.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Dallwitz,%20M.%20J.	http://example.org/1319662#Agent700-26	Dallwitz, M. J.
Hamilton, Michael M.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Hamilton,%20Michael%20M.	http://example.org/1400868#Agent700-26	Hamilton, Michael M.
Crandell, W. Dean.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Crandell,%20W.%20Dean.	http://example.org/1400868#Agent700-27	Crandell, W. Dean.
O'Neill, Timothy J.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22O'Neill,%20Timothy%20J.	http://example.org/1341994#Agent100-13	O'Neill, Timothy J.
Pears, Nigel.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Pears,%20Nigel.	http://example.org/1302718#Agent100-12	Pears, Nigel.
Akenson, Donald H.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Akenson,%20Donald%20H.	http://example.org/1355182#Agent100-17	Akenson, Donald H.
Convegno di studi in onore  e in ricordo di Stefania Adamo Muscettola 2006 Naples, Italie	315092797	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Adamo%20Muscettola,%20Stefania.	http://example.org/1332563#Agent700-25	Convegno di studi in onore  e in ricordo di Stefania Adamo Muscettola 2006 Naples, Italie
Balasco, Alfredo.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Balasco,%20Alfredo.	http://example.org/1332563#Agent700-26	Balasco, Alfredo.
Giampaola, Daniela.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Giampaola,%20Daniela.	http://example.org/1332563#Agent700-27	Giampaola, Daniela.
Istituto universitario orientale (Naples, Italy). Dipartimento di studi del mondo classico e del Mediterraneo antico	127519816	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Istituto%20universitario%20orientale%20(Naples,%20Italy).%20Dipartimento%20di %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20studi%20del%20mondo%20classico%20e%20del%20Mediterraneo%20antico.	http://example.org/1332563#Agent710-28	Istituto universitario orientale (Naples, Italy). Dipartimento di studi del mondo classico e del Mediterraneo antico
Triáda (nakladatelství)	161032899	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Robert,%20Lucie.	http://example.org/1399470#Agent100-13	Triáda (nakladatelství)
Jennings, Linda, 1946-		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Jennings,%20Linda,%201946-	http://example.org/1397874#Agent100-12	Jennings, Linda, 1946-
Lamp, Mary L.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Lamp,%20Mary%20L.	http://example.org/1397874#Agent700-22	Lamp, Mary L.
Stenberg, Jerome, 1955-		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Stenberg,%20Jerome,%201955-	http://example.org/1397874#Agent700-23	Stenberg, Jerome, 1955-
British library. Bibliographic services	133160458	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22British%20Library.%20Bibliographic%20Services%20Division.	http://example.org/1299654#Agent710-22	British library. Bibliographic services
British library. Automated information service	139107480	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22British%20Library%20Automated%20Information%20Service.	http://example.org/1299654#Agent710-23	British library. Automated information service
Keast, Allen.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Keast,%20Allen.	http://example.org/1001399#Agent700-25	Keast, Allen.
Royal Australasian Ornithologists' Union	154258242	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Royal%20Australasian%20Ornithologists'%20Union.	http://example.org/1001399#Agent710-26	Royal Australasian Ornithologists' Union
Britton, Barbara.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Britton,%20Barbara.	http://example.org/1350666#Agent100-12	Britton, Barbara.
Grave, Jonquil.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Grave,%20Jonquil.	http://example.org/1350666#Agent700-25	Grave, Jonquil.
Northwest Territories. Department of Resources, Wildlife and Economic Development	184660394	Jurisdiction	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Northwest%20Territories.%20Dept.%20of%20Renewable%20Resources.	http://example.org/1350666#Agent710-26	Northwest Territories. Department of Resources, Wildlife and Economic Development
Geological Survey of Canada.	126584253	Jurisdiction	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Canada.%20Energy,%20Mines%20and%20Resources%20Canada.	http://example.org/1334974#Agent710-20	Geological Survey of Canada.
