Column 1	fname	lname	ID	Column 2	Column 3
Johnson, Daniel M. (Daniel Morgan), 1945-	 Daniel M (Daniel Morgan)	Johnson	94401101	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Johnson,%20Daniel%20M.%20(Daniel%20Morgan),%201945-
Alberta Research Council. Atmospheric Sciences Department.		Alberta Research Council Atmospheric Sciences Department		Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Alberta%20Research%20Council.%20Atmospheric%20Sciences %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20Department.
Wilde, Oscar, 1854-1900.	 Aubrey	Beardsley	34464414	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Beardsley,%20Aubrey,%201872-1898.
Italy. Soprintendenza speciale alla Galleria nazionale d'arte moderna e contemporanea.		Italy Soprintendenza speciale alla Galleria nazionale d'arte moderna e contemporanea		Jurisdiction	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Italy.%20Soprintendenza%20speciale%20alla%20Galleria%20nazionale%20d'arte %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20moderna%20e%20contemporanea.
Gill, Eric, 1882-1940		Victoria and Albert Museum	36934216	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Victoria%20and%20Albert%20Museum.
Bragg, William Lawrence, sir, 1890-1971		British Council	49306596	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22British%20Council.
Abercrombie, Patrick, 1879-1957	 Leslie	Watson	108570703	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Watson,%20Leslie.
Dallwitz, M. J.	 M J	Dallwitz	48257155	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Dallwitz,%20M.%20J.
Landau, Jacob M., 1924-	 Michael M	Hamilton	15877499	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Hamilton,%20Michael%20M.
Crandell, W. Dean	 W Dean	Crandell	6597171	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Crandell,%20W.%20Dean.
O'Neill, Timothy J.	 Timothy J	O'Neill	88883138	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22O'Neill,%20Timothy%20J.
Pears, Nigel.	 Nigel	Pears	56672288	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Pears,%20Nigel.
Hahn, Emily, 1905-1997	 Donald H	Akenson	109635263	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Akenson,%20Donald%20H.
Adamo Muscettola, Stefania	 Stefania	Adamo Muscettola	51853728	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Adamo%20Muscettola,%20Stefania.
Balasco, Alfredo	 Alfredo	Balasco	64317043	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Balasco,%20Alfredo.
Giampaola, Daniela	 Daniela	Giampaola	54458959	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Giampaola,%20Daniela.
Giampaola, Daniela	 Italy) Dipartimento di studi del mondo classico e del Mediterraneo antico	Istituto universitario orientale (Naples	54458959	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Istituto%20universitario%20orientale%20(Naples,%20Italy).%20Dipartimento%20di %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20studi%20del%20mondo%20classico%20e%20del%20Mediterraneo%20antico.
Buchan, John, 1875-1940.	 Lucie	Robert	66464527	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Robert,%20Lucie.
Jennings, Linda, 1946-....	 Linda	Jennings	38336742	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Jennings,%20Linda,%201946-
Lamp, Mary L.	 Mary L	Lamp	1431376	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Lamp,%20Mary%20L.
Stenberg, Jerome, 1955-	 Jerome	Stenberg	3894480	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Stenberg,%20Jerome,%201955-
British Library. Bibliographic Services Division.		British Library Bibliographic Services Division		Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22British%20Library.%20Bibliographic%20Services%20Division.
British Library Automated Information Service.		British Library Automated Information Service		Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22British%20Library%20Automated%20Information%20Service.
Keast, Allen.	 Allen	Keast	44387223	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Keast,%20Allen.
Hall, Robert, 1867-1949		Royal Australasian Ornithologists' Union	94868664	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Royal%20Australasian%20Ornithologists'%20Union.
Lockridge, Richard, 1898-1982	 Barbara	Britton	100385353	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Britton,%20Barbara.
Grave, Jonquil.	 Jonquil	Grave		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Grave,%20Jonquil.
