Column 1	mach_ID_Per	VIAF-ID	score	VIAF	match_ID-cor	score-c	org	Column 3	Column 4
Merry, D. H. (Denis Harry)	23488634	23488634	1.0	Merry, D. H. (Denis Harry)			Person		http://example.org/1072738#Agent700-23
Wright, Louise Leonard, 1896-	109970047	109970047	0.8787878787878788	Wright, Louise Leonard, 1896-			Person		http://example.org/1062297#Agent100-10
Wright, Quincy, 1890-1970	9921592	9921592	0.9615384615384616	Wright, Quincy, 1890-1970			Person		http://example.org/1062297#Agent600-19
Zion, Mary Jo				Zion, Mary Jo			Person		http://example.org/1062230#Agent100-10
Schaefer, James F	28585146	28585146	1.0	Schaefer, James F			Person		http://example.org/1064980#Agent100-12
ERIC Clearinghouse on Teacher Education		130151744		ERIC Clearinghouse on Teacher Education	130151744	1.0	Organization		http://example.org/1064980#Agent710-22
Jamison, Paul E	453149066864065602951	453149066864065602951	0.9375	Jamison, Paul E			Person		http://example.org/1014504#Agent100-13
National Library of Wales		139269948	;	National Library of Wales	139269948	0.96	Organization		http://example.org/1039927#Agent110-10
Owen, Robert, 1771-1858	29613293	29613293	0.9583333333333334	Owen, Robert, 1771-1858			Person		http://example.org/1039927#Agent600-19
Hawkes, Arthur John, 1885-	112190240	112190240	1.0	Hawkes, Arthur John, 1885-			Person		http://example.org/1039927#Agent700-20
Williams, William, keeper of printed books, National library of Wales				Williams, William, keeper of printed books, National library of Wales			Person		http://example.org/1039927#Agent700-21
Ballinger, John, 1860-1933	94637280	94637280	1.0	Ballinger, John, 1860-1933			Person		http://example.org/1039927#Agent700-22
University of Wales. University press board				University of Wales. University press board			Organization		http://example.org/1039927#Agent710-23
Craigie, James	54533617	54533617	1.0	Craigie, James			Person		http://example.org/1042860#Agent100-12
Searle, Townley	247972218	247972218	1.0	Searle, Townley			Person		http://example.org/1082005#Agent100-11
Gilbert, W. S. (William Schwenck), 1836-1911	22191447	22191447	0.9772727272727273	Gilbert, W. S. (William Schwenck), 1836-1911			Person		http://example.org/1082005#Agent600-21
Sullivan, Arthur, 1842-1900	95208295	95208295	0.9642857142857143	Sullivan, Arthur, 1842-1900			Person		http://example.org/1082005#Agent600-22
Lewanski, Richard Casimir, 1918-	109662846	109662846	0.9696969696969697	Lewanski, Richard Casimir, 1918-			Person		http://example.org/1022509#Agent100-11
Johns Hopkins University. Bologna Center. Library		142352348		Johns Hopkins University. Bologna Center. Library	142352348	1.0	Organization		http://example.org/1022509#Agent810-23
Johns Hopkins University. Bologna Center. Library		142352348		Johns Hopkins University. Bologna Center. Library	142352348	1.0	Organization		http://example.org/1022509#Agent810-24
Johns Hopkins University. Bologna Center. Library		142352348		Johns Hopkins University. Bologna Center. Library	142352348	1.0	Organization		http://example.org/1022509#Agent810-25
Johns Hopkins University. Bologna Center. Library		142352348		Johns Hopkins University. Bologna Center. Library	142352348	1.0	Organization		http://example.org/1022509#Agent810-26
Eaton, Allen H. (Allen Hendershott), 1878-1962	74002010	74002010	1.0	Eaton, Allen H. (Allen Hendershott), 1878-1962			Person		http://example.org/1025241#Agent100-11
Harrison, Shelby M. (Shelby Millard), 1881-	117207558	117207558	1.0	Harrison, Shelby M. (Shelby Millard), 1881-			Person		http://example.org/1025241#Agent700-21
Russell Sage Foundation. Dept. of surveys and exhibits		202386077		Russell Sage Foundation. Dept. of surveys and exhibits	202386077	0.864406779661017	Organization		http://example.org/1025241#Agent710-22
Gulutsan, Metro				Gulutsan, Metro			Person		http://example.org/1079369#Agent100-9
Steinmetz, Harry C				Steinmetz, Harry C			Person		http://example.org/1079369#Agent700-20
Creswell, K. A. C. (Keppel Archibald Cameron), Sir, 1879-	97751366	97751366	0.8245614035087719	Creswell, K. A. C. (Keppel Archibald Cameron), Sir, 1879-			Person		http://example.org/1080280#Agent100-11
Ekpiken, A. N	86847428	86847428	0.8461538461538461	Ekpiken, A. N			Person		http://example.org/1028563#Agent100-12
University of Ibadan. Library		127548207	;	University of Ibadan. Library	127548207	1.0	Jurisdiction		http://example.org/1028563#Agent810-24
Muir, Percy H. (Percy Horace), 1894-1979	100895946	100895946	1.0	Muir, Percy H. (Percy Horace), 1894-1979			Person		http://example.org/1004658#Agent100-10
Hewlett, Maurice, 1861-1923	5726988	5726988	1.0	Hewlett, Maurice, 1861-1923			Person		http://example.org/1004658#Agent600-18
Reid, Dennis R	54164900	54164900	0.9333333333333333	Reid, Dennis R			Person		http://example.org/1085544#Agent100-13
Group of Seven (Group of artists)		145345582	;	Group of Seven (Group of artists)	145345582	1.0	Organization		http://example.org/1085544#Agent610-21
Hocken, Thomas Morland, 1836-1910	19848686	19848686	1.0	Hocken, Thomas Morland, 1836-1910			Person		http://example.org/1057741#Agent100-11
Johnstone, A. H. (Alexander Henry)	28329041	28329041	0.9705882352941176	Johnstone, A. H. (Alexander Henry)			Person		http://example.org/1057741#Agent700-27
Smith, William Charles			;	Smith, William Charles			Person		http://example.org/1073367#Agent100-10
