Column 1	VIAF-ID	score	Column 2	Column 3	Column 4	LCID
Pearson, Murray	169248522	1	Person		http://example.org/6791877#Agent700-33	http://id.loc.gov/authorities/names/no2006075183
Howard, Carl Q., 1970-	308755547	1	Person		http://example.org/6786242#Agent100-14	http://id.loc.gov/authorities/names/n2014031437
Cazzolato, Benjamin S., 1969-	308755549	1	Person		http://example.org/6786242#Agent700-33	http://id.loc.gov/authorities/names/n2014031439
Beagan, Brenda L	105250982	0.9411764705882353	Person		http://example.org/6803037#Agent100-21	http://id.loc.gov/authorities/names/no2015026134
Chapman, Gwen E., 1959-			Person		http://example.org/6803037#Agent700-32	
Johnston, Josée, 1972-			Person		http://example.org/6803037#Agent700-33	http://id.loc.gov/authorities/names/n2006024985
McPhail, Deborah, 1977-	311457232	1	Person		http://example.org/6803037#Agent700-34	http://id.loc.gov/authorities/names/n2016188595
Power, Elaine M., 1961-	311457406	1	Person		http://example.org/6803037#Agent700-35	http://id.loc.gov/authorities/names/n2016189625
Vallianatos, Helen	106616816	1	Person		http://example.org/6803037#Agent700-36	http://id.loc.gov/authorities/names/no00008768
Beagan, Brenda L	105250982	0.9411764705882353	Person		http://example.org/6795707#Agent100-22	http://id.loc.gov/authorities/names/no2015026134
Vallianatos, Helen	106616816	1	Person		http://example.org/6795707#Agent700-33	http://id.loc.gov/authorities/names/no00008768
Johnston, Josée, 1972-			Person		http://example.org/6795707#Agent700-34	http://id.loc.gov/authorities/names/n2006024985
Chapman, Gwen E., 1959-			Person		http://example.org/6795707#Agent700-35	
McPhail, Deborah, 1977-	311457232	1	Person		http://example.org/6795707#Agent700-36	http://id.loc.gov/authorities/names/n2016188595
Power, Elaine M., 1961-	311457406	1	Person		http://example.org/6795707#Agent700-37	http://id.loc.gov/authorities/names/n2016189625
Zufferey, Sandrine	156178649	0.9473684210526315	Person		http://example.org/6774181#Agent100-19	http://id.loc.gov/authorities/names/n2010050712
Young, David E. (David Earl)	93510638	1	Person		http://example.org/6694250#Agent100-19	http://id.loc.gov/authorities/names/n92033150
Willier, Russell	49075830	1	Person		http://example.org/6694250#Agent600-30	
Willier, Russell	49075830	1	Person		http://example.org/6694250#Agent600-31	http://id.loc.gov/authorities/names/nr90008900
Rogers, Robert Dale, 1950-	265967607	1	Person		http://example.org/6694250#Agent700-37	http://id.loc.gov/authorities/names/n2011181206
Willier, Russell	49075830	1	Person		http://example.org/6694250#Agent700-38	
Buuren, Arwin van	56090886	1	Person		http://example.org/6807496#Agent700-35	http://id.loc.gov/authorities/names/n2008071329
Eshuis, Jasper, 1972-	171471508	0.84	Person		http://example.org/6807496#Agent700-36	http://id.loc.gov/authorities/names/n2011043126
Vliet, Mathijs van	235640184	1	Person		http://example.org/6807496#Agent700-37	http://id.loc.gov/authorities/names/n2014070093
DeTurk, Sara	310613964	1	Person		http://example.org/6795648#Agent100-21	http://id.loc.gov/authorities/names/n2014051123
Esperanza Peace &amp; Justice Center			Organization		http://example.org/6795648#Agent610-32	
Cook, Diane J., 1963-	27379323	0.84	Person		http://example.org/6855794#Agent100-23	http://id.loc.gov/authorities/names/n2006028697
Krishnan, Narayanan C	18144782950061327632	0.9545454545454546	Person		http://example.org/6855794#Agent700-39	http://id.loc.gov/authorities/names/no2015081311
Ewan, Vanessa, 1960-	309820501	1	Person		http://example.org/6775504#Agent100-17	http://id.loc.gov/authorities/names/n2014037453
Green, Debbie, 1956-	309822262	1	Person		http://example.org/6775504#Agent700-28	http://id.loc.gov/authorities/names/n2014039657
Brooks, Helen, 1981-	310613761	1	Person		http://example.org/6774095#Agent100-19	http://id.loc.gov/authorities/names/n2014050877
Palgrave Connect (Online service)			Organization		http://example.org/6774095#Agent710-32	http://id.loc.gov/authorities/names/no2010191429
Clements, Rebekah	180149366451585602455	1	Person		http://example.org/6849271#Agent100-14	http://id.loc.gov/authorities/names/n2014051851
Chelmow, David	308233738	1	Person		http://example.org/6850064#Agent700-29	http://id.loc.gov/authorities/names/n2014183873
Isaacs, Christine R	308233742	0.95	Person		http://example.org/6850064#Agent700-30	http://id.loc.gov/authorities/names/n2014183878
Carroll, Ashley	308233743	1	Person		http://example.org/6850064#Agent700-31	http://id.loc.gov/authorities/names/n2014183879
Katagiri, Noriyuki	307474055	0.9473684210526315	Person		http://example.org/6774208#Agent100-18	
Katagiri, Noriyuki	307474055	0.9473684210526315	Person		http://example.org/6758290#Agent100-15	
Chang, Mark	43727698	0.9166666666666666	Person		http://example.org/6786272#Agent100-14	http://id.loc.gov/authorities/names/n2006054152
Poularikas, Alexander D., 1933-	71566644	1	Person		http://example.org/6808971#Agent100-18	http://id.loc.gov/authorities/names/n79028766
Gürth, Per-Henrik	9495341	1	Person		http://example.org/6786304#Agent100-14	http://id.loc.gov/authorities/names/no2001051625
Fong, Rowena	58678155	1	Person		http://example.org/6786568#Agent700-33	http://id.loc.gov/authorities/names/no96061621
Ruckmongathan, Temkar N	308231311	0.9583333333333334	Person		http://example.org/6773971#Agent100-24	http://id.loc.gov/authorities/names/n2014023911
Colman, Andrew M	19770727	0.9411764705882353	Person		http://example.org/6849475#Agent100-14	http://id.loc.gov/authorities/names/n82009233
DeValve, Michael J	311459077	0.9473684210526315	Person		http://example.org/6799148#Agent100-15	http://id.loc.gov/authorities/names/n2014064965
Faulkner, Andrew	102487908	0.9411764705882353	Person		http://example.org/6784393#Agent100-18	http://id.loc.gov/authorities/names/no2015037685
Gyncild, Brie	287346110	0.9285714285714286	Person		http://example.org/6784393#Agent700-36	http://id.loc.gov/authorities/names/no2004026874
