Column 1	uri	test	Column 3	acc	Column 5
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cc/c0/8h/f9/ccc08hf920	http://terms.library.ualberta.ca/public	| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cd/f6/5v/81/cdf65v8127	http://terms.library.ualberta.ca/public	| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cg/t5/4k/n1/cgt54kn14t		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/ch/t2/4w/j6/cht24wj687	http://terms.library.ualberta.ca/public	| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cn/00/9w/24/cn009w2434	http://terms.library.ualberta.ca/public	| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cn/c5/80/m9/cnc580m92b	http://terms.library.ualberta.ca/public	| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cq/j7/2p/74/cqj72p742b	http://terms.library.ualberta.ca/public	| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cq/r4/6r/12/cqr46r121b	http://terms.library.ualberta.ca/public	| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cr/49/4v/k2/cr494vk277		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cr/49/4v/k4/cr494vk41x	http://terms.library.ualberta.ca/public	| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cr/56/n2/44/cr56n2440	http://terms.library.ualberta.ca/public	| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cs/75/26/c7/cs7526c74s	http://terms.library.ualberta.ca/public	| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cs/b3/97/83/csb397835q	http://terms.library.ualberta.ca/public	| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/ct/q5/7n/r0/ctq57nr05w		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cv/43/nz/12/cv43nz12s		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cv/43/p0/60/cv43p060t	http://terms.library.ualberta.ca/public	| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/d5/04/rp/15/d504rp15v		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/d7/91/sg/67/d791sg676		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
