olac - dc:contributor	olac - dc:identifier
Jin, Hubert	LDC2004T02
Han, Na-Rae	LDC2004T03
Muthusamy, Yeshwant	LDC2006S39
Cole, Ronald Allan	LDC2006S39
Oshika, Beatrice	LDC2006S39
Janin, Adam	LDC2004T04
Edwards, Jane	LDC2004T04
Ellis, Dan	LDC2004T04
Gelbart, David	LDC2004T04
Morgan, Nelson	LDC2004T04
Peskin, Barbara	LDC2004T04
Pfau, Thilo	LDC2004T04
Shriberg, Elizabeth	LDC2004T04
Stolcke, Andreas	LDC2004T04
Wooters, Chuck	LDC2004T04
Palmer, Martha	LDC2004T05
Chiou, Fu-Dong	LDC2004T05
Xue, Nianwen	LDC2004T05
Lee, Tsan-Kuang	LDC2004T05
Ma, Xiaoyi	LDC2004T07
Ma, Xiaoyi	LDC2004T08
Mitchell, Alexis	LDC2004T09
Strassel, Stephanie	LDC2004T09
Przybocki, Mark	LDC2004T09
Davis, J.K.	LDC2004T09
Doddington, George R.	LDC2004T09
Grishman, Ralph	LDC2004T09
Meyers, Adam	LDC2004T09
Brunstein, Ada	LDC2004T09
Ferro, Lisa	LDC2004T09
Sundheim, Beth	LDC2004T09
Burger, Susanne	LDC2004T10
MacLaren, Victoria	LDC2004T10
Waibel, Alex	LDC2004T10
Maamouri, Mohamed	LDC2004T11
Bies, Ann	LDC2004T11
Buckwalter, Tim	LDC2004T11
Jin, Hubert	LDC2004T11
Strassel, Stephanie	LDC2004T12
Walker, Christopher	LDC2004T12
Lee, Haejoong	LDC2004T12
Garofolo, John S.	LDC2004T13
Michel, Martial	LDC2004T13
Stanford, Vincent M.	LDC2004T13
Tabassi, Elham	LDC2004T13
Fiscus, Jonathan G.	LDC2004T13
Laprun, Christophe D.	LDC2004T13
Pratz, Nicolas	LDC2004T13
Lard, Jerome	LDC2004T13
Strassel, Stephanie	LDC2004T13
Palmer, Martha	LDC2004T14
Kingsbury, Paul	LDC2004T14
Babko-Malaya, Olga	LDC2004T14
Cotton, Scott	LDC2004T14
Snyder, Benjamin	LDC2004T14
Prasad, Rashmi	LDC2004T15
Walker, Marilyn	LDC2004T15
Prasad, Rashmi	LDC2004T16
Walker, Marilyn	LDC2004T16
Ma, Xiaoyi	LDC2004T17
Zakhary, Dalal	LDC2004T17
Bamba, Moussa	LDC2004T17
Cieri, Christopher	LDC2004T19
Graff, David	LDC2004T19
Kimball, Owen	LDC2004T19
Miller, Dave	LDC2004T19
Walker, Kevin	LDC2004T19
Hajič, Jan	LDC2004T23
Smrz, Otakar	LDC2004T23
Zemanek, Petr	LDC2004T23
Pajas, Petr	LDC2004T23
Snaidauf, Jan	LDC2004T23
Beska, Emanuel	LDC2004T23
Kracmar, Jakub	LDC2004T23
Hassanova, Kamila	LDC2004T23
Curin, Jan	LDC2004T25
Cmejrek, Martin	LDC2004T25
Havelka, Jiří	LDC2004T25
Hajič, Jan	LDC2004T25
Kubon, Vladislav	LDC2004T25
Žabokrtský, Zdeněk	LDC2004T25
Bamba, Moussa	LDC2005L01
Maamouri, Mohamed	LDC2005S07
Jin, Hubert	LDC2005S07
BBN Technologies (with American University of Beirut a subcontractor)	LDC2005S08
Makhoul, John	LDC2005S08
Zawaydeh, Bushra	LDC2005S08
Choi, Frederick	LDC2005S08
Stallard, David	LDC2005S08
Kong, Junbo	LDC2005S11
Graff, David	LDC2005S11
Cieri, Christopher	LDC2005S13
Graff, David	LDC2005S13
Kimball, Owen	LDC2005S13
Miller, Dave	LDC2005S13
Walker, Kevin	LDC2005S13
Palmer, Martha	LDC2005T01
Chiou, Fu-Dong	LDC2005T01
Xue, Nianwen	LDC2005T01
Lee, Tsan-Kuang	LDC2005T01
Maamouri, Mohamed	LDC2005T02
Bies, Ann	LDC2005T02
Buckwalter, Tim	LDC2005T02
Jin, Hubert	LDC2005T02
Maamouri, Mohamed	LDC2005T03
Buckwalter, Tim	LDC2005T03
Jin, Hubert	LDC2005T03
Ma, Xiaoyi	LDC2005T05
Ma, Xiaoyi	LDC2005T06
Ferro, Lisa	LDC2005T07
Gerber, Laurie	LDC2005T07
Hitzeman, Janet	LDC2005T07
Lima, Elizabeth	LDC2005T07
Sundheim, Beth	LDC2005T07
Wolf, Florian	LDC2005T08
Gibson, Edward	LDC2005T08
Fisher, Amy	LDC2005T08
Knight, Meredith	LDC2005T08
Strassel, Stephanie	LDC2005T29
Glenn, Meghan	LDC2005T29
Columbia University	LDC2013S09
International, SRI	LDC2013S09
University of Colorado Boulder	LDC2013S09
Xue, Nianwen	LDC2013T21
