Val	match-ID-F	score-lc	Column 1	LCP	match-ID	score	Cor	LCC	score-c	org	Column 3	Column 4	VIAF-ID
Rushton, Michael, 1959-	no2003082564		Rushton, Michael, 1959-	no2003082564	no2003082564	1	Rushton, Michael, 1959-			Person		http://example.org/6659194#Agent100-23	29226160
White, Paul, 1949- 	no00104247		White, Paul, 1949-	no00104247	no00104247	1	White, Paul, 1949- 			Person		http://example.org/6659229#Agent100-17	61097842
Lind, Per, 1940-	n90645477		Lind, Per, 1940-	n90645477	n90645477	0.8	Lind, Per, 1940-			Person		http://example.org/6659230#Agent100-21	38535256
Mikulincer, Mario	n94081382		Mikulincer, Mario	n94081382	n94081382	1	Mikulincer, Mario			Person		http://example.org/6659354#Agent700-37	44550666
American Psychological Association	n80126082		American Psychological Association		n80126082		American Psychological Association	n80126082	0.9411764705882353	Organization		http://example.org/6659354#Agent710-38	153428680
Mikulincer, Mario	n94081382		Mikulincer, Mario	n94081382	n94081382	1	Mikulincer, Mario			Person		http://example.org/6659355#Agent700-37	44550666
American Psychological Association	n80126082		American Psychological Association		n80126082		American Psychological Association	n80126082	0.9411764705882353	Organization		http://example.org/6659355#Agent710-38	153428680
Mikulincer, Mario	n94081382		Mikulincer, Mario	n94081382	n94081382	1	Mikulincer, Mario			Person		http://example.org/6659356#Agent700-37	44550666
American Psychological Association	n80126082		American Psychological Association		n80126082		American Psychological Association	n80126082	0.9411764705882353	Organization		http://example.org/6659356#Agent710-38	153428680
Mikulincer, Mario	n94081382		Mikulincer, Mario	n94081382	n94081382	1	Mikulincer, Mario			Person		http://example.org/6659357#Agent700-37	44550666
American Psychological Association	n80126082		American Psychological Association		n80126082		American Psychological Association	n80126082	0.9411764705882353	Organization		http://example.org/6659357#Agent710-38	153428680
Gibson, Jeremy	no2008029038		Gibson, Jeremy	no2008029038	no2008029038	0.9333333333333333	Gibson, Jeremy			Person		http://example.org/6659380#Agent100-18	53950899
Brown, Carl			Brown, Carl				Brown, Carl			Person		http://example.org/6659381#Agent100-18	
