Val	match-ID-F	score-lc	Column 1	LCP	match-ID	score	Cor	LCC	score-c	Column 2	Column 3	Column 4	blank
Mickiewicz, Adam, 1798-1855	n80050378	100	Mickiewicz, Adam, 1798-1855	n80050378	n80050378	0.9642857143	Mickiewicz, Adam, 1798-1855			Person		http://example.org/1097321#Agent600-19	
Słonski, Stanisław	no95004104	100	Słonski, Stanisław	no95004104	no95004104	1	Słonski, Stanisław			Person		http://example.org/1096329#Agent100-10	
Klemensiewicz, Zenon, 1891-1969	n83147029	100	Klemensiewicz, Zenon, 1891-1969	n83147029	n83147029	1	Klemensiewicz, Zenon, 1891-1969			Person		http://example.org/1096324#Agent100-10	
Jiménez Rueda, Julio, 1896-	n91027250	86	Jiménez Rueda, Julio, 1896-				Jiménez Rueda, Julio, 1896-			Person		http://example.org/1072653#Agent100-11	
Universidad Nacional de México	n82058379	98	Universidad Nacional de México				Universidad Nacional de México			Organization		http://example.org/1072653#Agent610-19	
Brożek, Mieczysław	n83199667	97	Brożek, Mieczysław	n83199667	n83199667	1	Brożek, Mieczysław			Person		http://example.org/1091420#Agent100-10	
Chrzanowski, Ignacy, 1866-1940	n84020591	100	Chrzanowski, Ignacy, 1866-1940	n84020591	n84020591	1	Chrzanowski, Ignacy, 1866-1940			Person		http://example.org/1096941#Agent100-10	
Wilkoń, Aleksander	n82223173	97	Wilkoń, Aleksander	n82223173	n82223173	1	Wilkoń, Aleksander			Person		http://example.org/1001761#Agent700-25	
Stępień, Marian, 1929-	n81037078	94	Stępień, Marian, 1929-	n81037078	n81037078	1	Stępień, Marian, 1929-			Person		http://example.org/1001761#Agent700-26	
Uniwersytet Jagielloński. Instytut Filologii Polskiej	n82030815	99	Uniwersytet Jagielloński. Instytut Filologii Polskiej		n82030815		Uniwersytet Jagielloński. Instytut Filologii Polskiej	n82030815	0.9814814815	Organization		http://example.org/1001761#Agent710-27	
Barco, Miguel del, 1706-1790	n80086480	100	Barco, Miguel del, 1706-1790	n80086480	n80086480	0.9310344828	Barco, Miguel del, 1706-1790			Person		http://example.org/102989#Agent100-11	
Venegas, Miguel, 1680-1764	n84229498	100	Venegas, Miguel, 1680-1764	n84229498	n84229498	0.9285714286	Venegas, Miguel, 1680-1764			Person		http://example.org/102989#Agent700-23	
Sen, Siba Pada	n50012862	100	Sen, Siba Pada	n50012862	n50012862	1	Sen, Siba Pada			Person		http://example.org/1004179#Agent100-12	
Smalley, Beryl	n50014730	100	Smalley, Beryl				Smalley, Beryl			Person		http://example.org/1053654#Agent100-13	
Bardach, Juliusz	n83219547	100	Bardach, Juliusz	n83219547	n83219547	1	Bardach, Juliusz			Person		http://example.org/1068593#Agent100-11	
Kaczmarczyk, Zdzisław	nr87000391	100	Kaczmarczyk, Zdzisław	nr87000391	nr87000391	1	Kaczmarczyk, Zdzisław			Person		http://example.org/1068593#Agent700-23	
Leśnodorski, Bogusław	n84107555	97	Leśnodorski, Bogusław	n84107555	n84107555	0.9047619048	Leśnodorski, Bogusław			Person		http://example.org/1068593#Agent700-24	
Bonet, Juan	n50042089	100	Bonet, Juan				Bonet, Juan			Person		http://example.org/1093956#Agent100-10	
Balaguer, Víctor, 1824-1901	n84024825	98	Balaguer, Víctor, 1824-1901	n84024825	n84024825	1	Balaguer, Víctor, 1824-1901			Person		http://example.org/1093834#Agent100-10	
