Val	match-ID-F	score-lc	Column 1	LCP	match-ID	score	Cor	LCC	score-c	Column 2	Column 3	Column 4	blabnk
Wagner, Richard, 1813-1883	n79089831	100	Wagner, Richard, 1813-1883	n79089831	n79089831	0.962962963	Wagner, Richard, 1813-1883			Person		http://example.org/10078#Agent100-9	
Frantz, Gustav Adolph Constantin, 1817-1891	n79075054	100	Frantz, Gustav Adolph Constantin, 1817-1891	n79075054	n79075054	1	Frantz, Gustav Adolph Constantin, 1817-1891			Person		http://example.org/1048541#Agent100-11	
Frantz, Gustav Adolph Constantin, 1817-1891	n79075054	100	Frantz, Gustav Adolph Constantin, 1817-1891	n79075054	n79075054	1	Frantz, Gustav Adolph Constantin, 1817-1891			Person		http://example.org/1039397#Agent100-11	
Beyme, Klaus von	n50011150	100	Beyme, Klaus von	n50011150	n50011150	1	Beyme, Klaus von			Person		http://example.org/1050837#Agent100-11	
Altenstetter, Christa	n79060559	100	Altenstetter, Christa	n79060559	n79060559	1	Altenstetter, Christa			Person		http://example.org/1048333#Agent100-11	
Du Mont, Emerich, Freiherr von, 1846-			Du Mont, Emerich, Freiherr von, 1846-				Du Mont, Emerich, Freiherr von, 1846-			Person		http://example.org/100426#Agent100-9	
Darwin, Charles, 1809-1882	n78095637	100	Darwin, Charles, 1809-1882	n78095637	n78095637	0.962962963	Darwin, Charles, 1809-1882			Person		http://example.org/100426#Agent600-17	
Schopenhauer, Arthur, 1788-1860	n80032764	100	Schopenhauer, Arthur, 1788-1860	n80032764	n80032764	0.96875	Schopenhauer, Arthur, 1788-1860			Person		http://example.org/100426#Agent600-18	
Frankfurter Kunstverein	n50066587	100	Frankfurter Kunstverein		n50066587		Frankfurter Kunstverein	n50066587	0.9583333333	Organization		http://example.org/1088652#Agent110-10	
Bussmann, Georg	n50033827	100	Bussmann, Georg	n50033827	n50033827	1	Bussmann, Georg			Person		http://example.org/1088652#Agent700-19	
Zuber, Heinz	n2017007487	81	Zuber, Heinz				Zuber, Heinz			Person		http://example.org/1020385#Agent100-11	
France. Direction du trésor	n50070574	98	France. Direction du trésor		n50070574		France. Direction du trésor	n50070574	1	Jurisdiction		http://example.org/1020385#Agent610-19	
Kafka, Gustav Eduard, 1907-			Kafka, Gustav Eduard, 1907-				Kafka, Gustav Eduard, 1907-			Person		http://example.org/1038130#Agent100-10	
Socialdemokratische Partei Deutschlands			Socialdemokratische Partei Deutschlands				Socialdemokratische Partei Deutschlands			Organization		http://example.org/1038130#Agent610-18	
