Column 1	match-ID-F	score-lc	LC	LC-ID	match_ID	score	LC-C	LC-ID-C	score-c	org	Column 3	Column 4	blank
Weigand, F. L. K. (Friedrich Ludwig Karl), 1804-1878	n94058619	100	Weigand, F. L. K. (Friedrich Ludwig Karl), 1804-1878	n94058619	n94058619	1	Weigand, F. L. K. (Friedrich Ludwig Karl), 1804-1878			Person		http://example.org/1028154#Agent700-24	
Marin, Michel-Ange, 1697-1767	n84188870	100	Marin, Michel-Ange, 1697-1767	n84188870	n84188870	1	Marin, Michel-Ange, 1697-1767			Person		http://example.org/1021107#Agent100-10	
Colletet, Guillaume, 1598-1659	n82223008	100	Colletet, Guillaume, 1598-1659	n82223008	n82223008	1	Colletet, Guillaume, 1598-1659			Person		http://example.org/1094844#Agent100-13	
Tamizey de Larroque, Philippe, 1828-1898	n2004022758	100	Tamizey de Larroque, Philippe, 1828-1898	n2004022758	n2004022758	1	Tamizey de Larroque, Philippe, 1828-1898			Person		http://example.org/1094844#Agent700-24	
Nepos, Cornelius	n50004515	100	Nepos, Cornelius				Nepos, Cornelius			Person		http://example.org/1091602#Agent100-10	
Hannibal, 247 B.C.-182 B.C.	n50034033	100	Hannibal, 247 B.C.-182 B.C	n50034033	n50034033	0.962962963	Hannibal, 247 B.C.-182 B.C			Person		http://example.org/1091602#Agent600-18	
Atticus, Titus Pomponius	n85143752	100	Atticus, Titus Pomponius	n85143752	n85143752	1	Atticus, Titus Pomponius			Person		http://example.org/1091602#Agent600-19	
Cato, Marcus Porcius, 234 B.C.-149 B.C.	n50047791	100	Cato, Marcus Porcius, 234 B.C.-149 B.C	n50047791	n50047791	0.9743589744	Cato, Marcus Porcius, 234 B.C.-149 B.C			Organization		http://example.org/1091602#Agent610-20	
Ruch, Michel	no96057748	100	Ruch, Michel	no96057748	no96057748	1	Ruch, Michel			Person		http://example.org/1091602#Agent700-21	
Association de la jeunesse canadienne			Association de la jeunesse canadienne				Association de la jeunesse canadienne			Organization		http://example.org/102668#Agent110-9	
Monglond, André	n89637498	96	Monglond, André	n89637498	n89637498	1	Monglond, André			Person		http://example.org/1038167#Agent100-11	
Rousseau, Jean-Jacques, 1712-1778	n79008220	100	Rousseau, Jean-Jacques, 1712-1778	n79008220	n79008220	0.9705882353	Rousseau, Jean-Jacques, 1712-1778			Person		http://example.org/1038167#Agent600-20	
Jones, James, 1921-1977	n80025861	100	Jones, James, 1921-1977	n80025861	n80025861	0.9583333333	Jones, James, 1921-1977			Person		http://example.org/1003486#Agent100-10	
Jones, James, 1921-1977	n80025861	100	Jones, James, 1921-1977	n80025861	n80025861	0.9583333333	Jones, James, 1921-1977			Person		http://example.org/1003486#Agent600-19	
Turner, Robert F.	n83025263	100	Turner, Robert F				Turner, Robert F			Person		http://example.org/103293#Agent100-12	
Nguyẽ̂n, Đăng Liêm			Nguyẽ̂n, Đăng Liêm				Nguyẽ̂n, Đăng Liêm			Person		http://example.org/1099340#Agent100-12	
Hawaii. University. Pacific and Asian Linguistics Institute			Hawaii. University. Pacific and Asian Linguistics Institute				Hawaii. University. Pacific and Asian Linguistics Institute			Jurisdiction		http://example.org/1099340#Agent810-22	
Nghiêm, Đà̆ng	no96028925	89	Nghiêm, Đà̆ng				Nghiêm, Đà̆ng			Person		http://example.org/1051803#Agent100-11	
Roy, Pierre Georges, 1870-	n80107189	100	Roy, Pierre Georges, 1870-	n80107189	n80107189	1	Roy, Pierre Georges, 1870-			Person		http://example.org/1042598#Agent100-10	
Québec (Province) Historic Monuments Commission			Québec (Province) Historic Monuments Commission				Québec (Province) Historic Monuments Commission			Jurisdiction		http://example.org/1042598#Agent710-20	
Aube,́ Raoul	n00092113	100	Aube, ́ Raoul	n00092113	n00092113	0.9230769231	Aube, ́ Raoul			Person		http://example.org/1076284#Agent100-9	
Société des bibliophiles normands	no00048886	97	Société des bibliophiles normands		no00048886		Société des bibliophiles normands	no00048886	1	Organization		http://example.org/1076284#Agent710-23	
Parker, Howard J.	n82029246	100	Parker, Howard J				Parker, Howard J			Person		http://example.org/1033788#Agent100-13	
Stoke, Harold W. (Harold Walter), 1903-	n89634955	93	Stoke, Harold W. (Harold Walter), 1903-	n89634955	n89634955	0.9069767442	Stoke, Harold W. (Harold Walter), 1903-			Person		http://example.org/1067711#Agent100-11	
University of Oregon. Center for the Advanced Study of Educational Administration	n79099061	100	University of Oregon. Center for the Advanced Study of Educational Administration		n79099061		University of Oregon. Center for the Advanced Study of Educational Administration	n79099061	1	Organization		http://example.org/1067711#Agent710-21	
Skolnik, Michael L., 1941-	n50012034	100	Skolnik, Michael L., 1941-	n50012034	n50012034	0.8666666667	Skolnik, Michael L., 1941-			Person		http://example.org/1027606#Agent100-14	
Memorial University of Newfoundland. Institute of Social and Economic Research	n80145315	100	Memorial University of Newfoundland. Institute of Social and Economic Research		n80145315		Memorial University of Newfoundland. Institute of Social and Economic Research	n80145315	1	Organization		http://example.org/1027606#Agent710-26	
Finden, W. (William), 1787-1852	no90001823	100	Finden, W. (William), 1787-1852	no90001823	no90001823	1	Finden, W. (William), 1787-1852			Person		http://example.org/1071106#Agent100-11	
Finden, Edward Francis, 1791-1857	n87913861	100	Finden, Edward Francis, 1791-1857	n87913861	n87913861	1	Finden, Edward Francis, 1791-1857			Person		http://example.org/1071106#Agent700-24	
Chatto, William Andrew, 1799-1864	n81108645	100	Chatto, William Andrew, 1799-1864	n81108645	n81108645	1	Chatto, William Andrew, 1799-1864			Person		http://example.org/1071106#Agent700-25	
International Reading Association	n80125841	100	International Reading Association		n80125841		International Reading Association	n80125841	0.9393939394	Organization		http://example.org/1073160#Agent110-13	
Barrett, Thomas Chester			Barrett, Thomas Chester				Barrett, Thomas Chester			Person		http://example.org/1073160#Agent700-23	
Johnson, Dale D.	n79122736	100	Johnson, Dale D	n79122736	n79122736	0.9375	Johnson, Dale D			Person		http://example.org/1073160#Agent700-24	
Helm, W. H. (William Henry), 1860-1936	n85317832	100	Helm, W. H. (William Henry), 1860-1936	n85317832	n85317832	1	Helm, W. H. (William Henry), 1860-1936			Person		http://example.org/1086617#Agent100-10	
Lebrun, Marie Louise Elizabeth (Vigée), 1755-1842			Lebrun, Marie Louise Elizabeth (Vigée), 1755-1842				Lebrun, Marie Louise Elizabeth (Vigée), 1755-1842			Person		http://example.org/1086617#Agent600-18	
Gary, Charles L.	n50016996	100	Gary, Charles L	n50016996	n50016996	0.9375	Gary, Charles L			Person		http://example.org/1083427#Agent100-11	
Cressler, Alfred Miller, 1877-1939			Cressler, Alfred Miller, 1877-1939				Cressler, Alfred Miller, 1877-1939			Person		http://example.org/1026161#Agent100-10	
Engleman, Finis Ewing, 1895-	n80028187	100	Engleman, Finis Ewing, 1895-	n80028187	n80028187	1	Engleman, Finis Ewing, 1895-			Person		http://example.org/1067214#Agent100-10	
Huetz de Lemps, Alain	n50028606	100	Huetz de Lemps, Alain	n50028606	n50028606	1	Huetz de Lemps, Alain			Person		http://example.org/1003806#Agent100-11	
